column,null_pct,inf_count,std,abs_p99,max_abs,flag
alpha_001,0.3150,0,0.26949138364696773,0.4689695550351288,0.49981252343457067,
alpha_002,0.0937,0,0.45933027822649836,0.9489184337152923,0.9999249227699971,
alpha_003,0.1209,28,0.4224618691481185,0.9124746046795765,0.9999252421336405,INF_FEW
alpha_004,0.1073,0,2.9798401189644688,9.0,9.0,
alpha_005,0.1209,0,0.2234047880613288,0.9356523181387306,1.0,
alpha_006,0.1209,0,0.4346499401363964,0.9341669900681773,0.9992758559416294,
alpha_007,0.2561,0,0.5303055974778909,1.0,1.0,
alpha_008,0.2035,0,0.2886751294943123,0.9900841908325538,1.0,
alpha_009,0.0131,0,111.14953244034139,20.241975150000048,79172.87548500001,
alpha_010,0.0131,0,0.2886704338476369,0.9900894583331574,1.0,
alpha_011,0.0397,0,0.33079567959656003,1.4420658412746556,1.9990636002618005,
alpha_012,0.0131,0,111.1460157893352,20.241975150000048,79172.87548500001,
alpha_013,0.0531,0,0.288675129507948,0.9900878997568731,1.0,
alpha_014,0.1209,0,0.2607684158217505,0.7862688519279379,0.9992758559416294,
alpha_016,0.0531,0,0.2886751295077668,0.9900878997568731,1.0,
alpha_017,0.2596,0,0.18448401421617694,0.7820746876673249,0.9853653766346789,
alpha_018,0.1209,0,0.2886751295042159,0.9900860456416012,1.0,
alpha_019,6.9256,0,1.5207711158476365,1.9900076863950806,2.0,
alpha_020,0.0131,0,0.19197254812082326,0.9132989964997217,1.0,
alpha_021,0.0000,0,0.9795465880873783,1.0,1.0,
alpha_022,0.2596,231,0.37556541434052465,1.2835455240659732,1.9638972915036095,INF_HEAVY
alpha_023,0.0000,0,101.98303453142879,20.155539219999763,70136.72352000001,
alpha_024,0.0397,0,376.49851782143446,125.12261400000098,122338.20312800002,HUGE_TAIL
alpha_025,0.2596,0,0.28854760616429903,0.9900749063670412,1.0,
alpha_026,0.1346,156,0.4010755039320293,1.000000000000001,1.0000000000002582,INF_HEAVY
alpha_027,0.0000,0,0.9999996946615359,1.0,1.0,
alpha_028,0.3162,0,0.0019717729471856573,0.0010230031087485188,0.5590971331755314,
alpha_029,100.0000,0,nan,nan,nan,100% null
alpha_030,0.2596,0,0.08414295527321128,0.40070979191936507,0.9731398231943547,
alpha_031,100.0000,0,nan,nan,nan,100% null
alpha_032,6.4164,0,0.0026128335013771704,0.006345234619776644,0.6092804412091426,
alpha_033,0.0000,0,0.28867015028469367,0.9900860456416012,1.0,
alpha_034,0.0131,0,0.288675124728346,0.9900897531787585,1.0,
alpha_035,0.4309,0,0.16627042117000898,0.8129032258064516,1.0,
alpha_036,5.3249,0,0.7951186394593389,4.304595528147909,5.197031959636983,
alpha_037,5.3556,0,0.4082223176223552,1.8595930752822687,1.9983707493255607,
alpha_038,0.1209,0,0.26579353755215335,0.9291854769590241,0.9966298445983898,
alpha_039,6.9256,0,0.4857668369092826,1.8902272371386246,2.0,
alpha_040,0.1209,2,0.2909346391492518,0.8797636977459719,0.9970622938362281,INF_FEW
alpha_041,0.0000,0,8.34957457399141,3.257303340005533,7615.242487052441,
alpha_042,0.0000,0,51.36084840719015,47.16810861423137,5317.5,
alpha_043,0.2596,0,0.25194390565587194,0.9473684210526315,1.0,
alpha_044,0.0531,127,0.5173369047346962,0.989982426519926,1.2665325979501936,INF_HEAVY
alpha_045,0.6192,48514,0.33059908044050695,0.8600408371391538,78.76172250462261,INF_HEAVY
alpha_046,0.0131,0,1.6952796323371864,2.1961874000000017,1307.2331999999988,
alpha_047,0.2596,0,0.3674521709752095,0.9869985827000008,24.351810474046474,
alpha_048,6.9578,0,0.6135742057793739,0.06301674952891262,1152.5277247571398,
alpha_049,0.0131,0,47.409504914231924,11.838452400000003,52479.60852,
alpha_050,0.1238,0,0.22243533793969686,0.9978110178766874,1.0,
alpha_051,0.0131,0,47.408540028014315,11.763145899999913,52479.60852,
alpha_052,6.6061,0,116.18874917882374,15.376152120942516,81168.09923766344,
alpha_053,0.1209,0,134351.69563356502,30682.278461538477,91142733.69168302,HUGE_TAIL
alpha_054,0.0000,0,0.26724851197719546,0.950927730204659,26.270270270270267,
alpha_055,0.2175,3,0.49719217214948636,0.9703581489467842,0.9999466353897714,INF_FEW
alpha_056,9.2121,0,0.22437603772854295,0.868361182145506,0.9996312684365781,
alpha_057,0.4165,0,126.63880784416565,30.007437000564845,122146.42655158875,
alpha_058,0.1346,0,0.41149615442675774,1.0,1.0,
alpha_059,0.2456,0,0.40224298310245665,1.0,1.0,
alpha_060,0.3396,0,0.00023114321752775902,0.0006584561630499205,0.0008069133439034366,
alpha_061,5.2317,0,0.49999392247043734,1.0,1.0,
alpha_062,0.7709,0,0.4999999717998535,1.0,1.0,
alpha_063,6.5743,0,0.40394722727104276,0.8972263884011203,0.9996152848422893,
alpha_064,3.7358,0,0.49996769851429385,1.0,1.0,
alpha_065,0.0000,0,0.9999159158143409,1.0,1.0,
alpha_066,0.1346,0,0.47540997152625,1.9586206896551723,2.0,
alpha_067,0.9564,0,0.2248713873871453,0.9981222582949573,1.0,
alpha_068,0.0000,0,0.9999627057835627,1.0,1.0,
alpha_069,0.3162,0,0.27900612856333756,1.0,1.0,
alpha_070,1.2750,0,0.2844170351191814,1.0,1.0,
alpha_071,0.2035,0,0.3285637889422625,1.0,1.0,
alpha_072,1.3449,0,25.83550418403025,39.904260389675876,5271.779796107507,
alpha_074,0.0000,0,0.49999586246243216,1.0,1.0,
alpha_075,1.1083,0,0.49998505704009294,1.0,1.0,
alpha_076,0.1621,0,0.2797434663270636,1.0,1.0,
alpha_077,0.2596,0,0.23488632869002699,0.9011606140022463,1.0,
alpha_078,1.2224,0,0.26056391671088,0.9985733022239808,1.0,
alpha_079,10.2032,0,0.4999917166267515,1.0,1.0,
alpha_080,0.2456,0,0.25460773145016896,1.0,1.0,
alpha_081,0.0000,0,0.49994272074624396,1.0,1.0,
alpha_082,0.2035,0,0.29065211690366266,0.9716868885910334,1.0,
alpha_083,0.0801,3738,100.61610497808084,53.59375269837395,31539.041291878475,INF_HEAVY
alpha_084,0.2738,0,0.34590250893065194,1.0,1.0,
alpha_085,0.7107,0,0.2507410952384986,0.9983114794694993,1.0,
alpha_086,0.5336,0,0.4999987083544665,1.0,1.0,
alpha_087,0.0531,0,0.26785865024805106,1.0,1.0,
alpha_088,0.0937,0,0.2897681303383803,0.9717450910087058,1.0,
alpha_089,0.3447,0,0.5623637305564043,1.0,1.0,
alpha_090,0.6081,0,0.3018135341239454,1.0,1.0,
alpha_091,0.4748,0,0.5414146913119061,0.9864084900390989,1.0,
alpha_092,0.2456,0,0.3122942250406672,1.0,1.0,
alpha_093,2.7577,0,59.42760851651389,41.314167217647594,5479.0,
alpha_094,1.5745,0,0.2999866592272667,1.0,1.0,
alpha_095,0.0000,0,0.4999411551528576,1.0,1.0,
alpha_096,0.0937,0,0.3429867436249943,1.0,1.0,
alpha_097,1.6346,0,0.5170243543947073,0.9845565292924682,1.0,
alpha_098,0.7744,0,0.4247027095968133,0.9125731064308279,0.9995309741939922,
alpha_099,0.0000,0,0.4999992380007762,1.0,1.0,
alpha_100,0.6206,0,0.0005409270600012964,0.001954647735789124,0.02323859621414792,
alpha_101,0.0000,0,0.5312082440780825,0.9940536449720748,0.9999998528295628,
alpha_custom_argmax_recent,0.2596,0,0.28288053980914957,0.9720982142857143,0.9998126639190709,
alpha_custom_argmin_recent,0.2596,0,0.27377147156535425,0.9777250319517984,0.9999063845721775,
alpha_custom_decaylinear_mom,0.1346,0,0.288675129501163,0.9900860456416012,1.0,
alpha_custom_kurt_filter,0.2738,0,0.28867512948906376,0.9900841908325538,1.0,
alpha_custom_skew_reversal,0.2738,0,0.28867512948906376,0.9900841908325538,1.0,
alpha_custom_zscore_5d,0.0531,18,1.031145349181365,1.756631485107954,1.7888601424238104,INF_FEW
gtja_001,0.0801,0,0.4806993287528604,0.9632703975466422,0.9998297879693598,
gtja_002,0.0131,0,0.8752969077936487,1.8860404900592378,2.0,
gtja_003,0.0666,0,246.24459262175952,72.20919959999999,87371.69281,
gtja_004,0.0000,0,0.9795465880873783,1.0,1.0,
gtja_005,0.1346,108787,561395.2785742253,1.0000000000000029,616434277.5668668,INF_HEAVY
gtja_006,0.0531,0,0.2205761342545321,0.9139328444615978,0.991701244813278,
gtja_007,0.0397,0,0.33079567959656003,1.4420658412746556,1.9990636002618005,
gtja_008,0.0531,0,0.28867512950931873,0.9900878997568731,1.0,
gtja_009,0.0131,0,0.07377044454949208,2.2323657544437308e-05,80.7921416197053,
gtja_010,0.0000,0,0.257415702287017,0.9900897531787585,1.0,
gtja_011,0.0666,0,73599063.79840335,260760552.19335353,10667088283.643953,HUGE_TAIL
gtja_012,0.1209,0,0.2481157219177376,0.958116433971489,1.0,
gtja_013,0.0000,0,8.34957457399141,3.257303340005533,7615.242487052441,
gtja_014,0.0666,0,226.6076989129438,58.01854808000023,82714.96549,
gtja_015,0.0131,0,6.570551073573888,0.07407407407407396,10054.64,
gtja_016,0.1238,0,0.22243533793969686,0.9978110178766874,1.0,
gtja_017,0.1897,7647,inf,9.25609366080919e+37,1.4056921872142431e+308,INF_HEAVY
gtja_018,0.0666,0,12.697144064100286,1.3042345891097666,10007.755999999998,
gtja_019,0.0801,0,0.10668438603954995,0.5228514223387791,0.9999105727560127,
gtja_020,0.0801,0,1269.0052981588105,62.75345392049437,1024068.8325640138,
gtja_021,0.1346,0,32.24856168564981,9.30198558154048,13643.954743125609,
gtja_022,0.1073,0,0.01735059596101439,0.06279316471155733,0.9321488142161526,
gtja_023,0.2465,0,8.963176021218874,69.28905088899612,100.0,
gtja_024,0.0666,0,119.49607156171973,37.26209645123335,55157.22483394555,
gtja_025,3.8268,0,0.4244590063026874,1.6978379538891302,1.9969886030796327,
gtja_026,5.4799,0,172.22992881475187,50.71350725443805,75456.71339278363,
gtja_027,0.0801,0,862.3091588758648,71.89838800630186,464234.8999628229,
gtja_028,0.1073,0,35.487841506617784,113.66116790433581,130.6365225081121,HUGE_TAIL
gtja_029,0.0801,0,229.76881570900076,10.336015517857355,183706.53148156742,
gtja_030,0.0000,0,nan,nan,nan,all-inf
gtja_031,0.1483,0,9.694864082597764,46.33657304590228,163.29102641455822,
gtja_032,0.0778,0,0.6163918257301834,2.7397856172325996,3.0000000000000004,
gtja_033,14.9758,0,103.56907569096671,15.538085866428762,54637.32494150942,
gtja_034,0.1483,0,16.389631548034927,1.599434876491922,9146.504751950499,
gtja_035,0.0131,0,0.24444749408602248,0.9214031138623148,1.0,
gtja_036,0.0875,0,0.28867512950761126,0.9900860456416012,1.0,
gtja_037,0.2035,0,0.2886751294943123,0.9900841908325538,1.0,
gtja_038,0.0000,0,101.98303514703909,20.155539219999763,70136.72352000001,
gtja_039,6.5743,0,0.40134757454110787,0.8966072635179516,0.9996152848422893,
gtja_040,0.3447,3,85.78622195774295,353.6217683785308,27648.47635677472,HUGE_TAIL
gtja_041,0.0937,0,0.28867512950527074,0.9900872101937463,1.0,
gtja_042,0.1209,2,0.2909346391492518,0.8797636977459719,0.9970622938362281,INF_FEW
gtja_043,0.0666,0,139737356.1298163,500055024.280001,19044325233.0,HUGE_TAIL
gtja_044,0.2738,0,0.5051274961115386,2.0,2.0,
gtja_045,4.2211,0,0.35820672079914917,0.8769562597229853,0.9949343817280556,
gtja_046,0.3162,0,13.208064066334742,1.7379576627613744,8519.983455555555,
gtja_047,0.0666,0,13.088917221041756,80.87776110213493,100.0,
gtja_048,0.2596,0,0.09248466801378634,0.43224244686556085,0.9816372205918867,
gtja_049,0.1483,0,0.2017916609657957,0.943119266055045,1.000000000000001,
gtja_050,0.1483,0,0.4045030627954525,0.9162303577056411,0.999999999992327,
gtja_051,0.1483,0,0.2022515318898218,0.9166666286359065,0.999999999992327,
gtja_052,0.3447,0,47.9719515840148,255.1768455671949,3126.7326732673455,HUGE_TAIL
gtja_053,0.1621,0,13.938881727420588,83.33333333333333,100.0,
gtja_054,0.1209,0,0.2886751295041915,0.9900860456416012,1.0,
gtja_055,0.2738,0,5833.506971110271,2404.3990531436993,1391617.9658261165,HUGE_TAIL
gtja_056,1.3645,0,0.4999932172701673,1.0,1.0,
gtja_057,0.1073,0,22.94891925380541,89.0840693279643,100.0,
gtja_058,0.2738,0,11.869508234982014,75.0,100.0,
gtja_059,0.2596,0,373.3305017202066,131.90642059277317,95704.02877107836,HUGE_TAIL
gtja_060,0.2596,0,123095755.4889949,449320411.2233795,12121430791.961607,HUGE_TAIL
gtja_061,0.1621,0,0.24266540381718588,0.9949485500467727,1.0,
gtja_062,11.3417,133,0.5157403755658433,0.9891812570693598,0.9999929250565822,INF_HEAVY
