ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
000006.SZ,深振业A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000011.SZ,深物业A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000012.SZ,南玻A,801710.SI,建筑材料,801712.SI,玻璃玻纤,857121.SI,玻璃制造
000016.SZ,,,,,,,
000019.SZ,,,,,,,
000025.SZ,,,,,,,
000028.SZ,国药一致,801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通
000029.SZ,深深房A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000030.SZ,富奥股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000032.SZ,,,,,,,
000034.SZ,神州数码,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000035.SZ,中国天楹,801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理
000036.SZ,华联控股,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000048.SZ,,,,,,,
000049.SZ,德赛电池,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
000058.SZ,深赛格,801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营
000059.SZ,华锦股份,801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工
000061.SZ,农产品,801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营
000062.SZ,深圳华强,801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ
000065.SZ,北方国际,801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程
000070.SZ,特发信息,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
000088.SZ,,,,,,,
000089.SZ,,,,,,,
000090.SZ,天健集团,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000099.SZ,,,,,,,
000155.SZ,川能动力,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
000156.SZ,华数传媒,801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ
000403.SZ,派林生物,801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品
000415.SZ,,,,,,,
000420.SZ,吉林化纤,801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶
000422.SZ,,,,,,,
000423.SZ,东阿阿胶,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
000426.SZ,兴业银锡,801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌
000429.SZ,粤高速A,801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路
000488.SZ,ST晨鸣,801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸
000498.SZ,山东路桥,801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程
000503.SZ,国新健康,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
000507.SZ,,,,,,,
000517.SZ,荣安地产,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000528.SZ,柳工,801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机
000539.SZ,粤电力A,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000543.SZ,皖能电力,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000544.SZ,中原环保,801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理
000546.SZ,,,,,,,
000550.SZ,江铃汽车,801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车
000552.SZ,甘肃能化,801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤
000555.SZ,神州信息,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000557.SZ,西部创业,801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输
000560.SZ,,,,,,,
000566.SZ,海南海药,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000567.SZ,海德股份,801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理
000581.SZ,威孚高科,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000582.SZ,北部湾港,801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口
000589.SZ,贵州轮胎,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
000591.SZ,太阳能,801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电
000592.SZ,平潭发展,801010.SI,农林牧渔,801011.SI,林业Ⅱ,850131.SI,林业Ⅲ
000597.SZ,东北制药,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000600.SZ,建投能源,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000601.SZ,韶能股份,801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电
000603.SZ,盛达资源,801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌
000612.SZ,焦作万方,801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝
000615.SZ,,,,,,,
000620.SZ,,,,,,,
000627.SZ,*ST天茂(退市),801790.SI,非银金融,801194.SI,保险Ⅱ,851941.SI,保险Ⅲ
000628.SZ,高新发展,801720.SI,建筑装饰,801721.SI,房屋建设Ⅱ,850623.SI,房屋建设Ⅲ
000636.SZ,风华高科,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
000639.SZ,,,,,,,
000650.SZ,仁和药业,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
000652.SZ,泰达股份,801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ
000657.SZ,中钨高新,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
000672.SZ,上峰水泥,801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造
000676.SZ,智度股份,801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理
000680.SZ,山推股份,801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机
000681.SZ,视觉中国,801760.SI,传媒,801767.SI,数字媒体,857673.SI,图片媒体
000682.SZ,东方电子,801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备
000683.SZ,博源化工,801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱
000685.SZ,中山公用,801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理
000686.SZ,东北证券,801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ
000688.SZ,国城矿业,801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌
000690.SZ,宝新能源,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000697.SZ,ST炼石,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000710.SZ,,,,,,,
000712.SZ,锦龙股份,801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ
000718.SZ,苏宁环球,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000719.SZ,中原传媒,801760.SI,传媒,801769.SI,出版,857692.SI,大众出版
000727.SZ,冠捷科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000735.SZ,罗牛山,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖
000736.SZ,*ST中地,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000737.SZ,,,,,,,
000756.SZ,新华制药,801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药
000758.SZ,中色股份,801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌
000761.SZ,本钢板材,801040.SI,钢铁,801044.SI,普钢,850442.SI,板材
000762.SZ,西藏矿业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
000766.SZ,通化金马,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000767.SZ,晋控电力,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000778.SZ,新兴铸管,801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材
000789.SZ,万年青,801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造
000791.SZ,,,,,,,
000795.SZ,英洛华,801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料
000801.SZ,四川九洲,801110.SI,家用电器,801112.SI,黑色家电,851122.SI,其他黑色家电
000810.SZ,创维数字,801110.SI,家用电器,801112.SI,黑色家电,851122.SI,其他黑色家电
000811.SZ,冰轮环境,801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备
000813.SZ,德展健康,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000818.SZ,航锦科技,801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱
000821.SZ,,,,,,,
000823.SZ,超声电子,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
000828.SZ,东莞控股,801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路
000829.SZ,天音控股,801200.SI,商贸零售,801204.SI,专业连锁Ⅱ,852041.SI,专业连锁Ⅲ
000833.SZ,粤桂股份,801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ
000837.SZ,秦川机床,801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具
000848.SZ,承德露露,801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料
000851.SZ,*ST高鸿(退市),801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
000860.SZ,顺鑫农业,801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ
000869.SZ,张裕A,801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类
000875.SZ,电投绿能,801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务
000880.SZ,潍柴重机,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000881.SZ,中广核技,801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品
000885.SZ,,,,,,,
000893.SZ,亚钾国际,801030.SI,基础化工,801038.SI,农化制品,850336.SI,钾肥
000899.SZ,赣能股份,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000901.SZ,,,,,,,
000902.SZ,,,,,,,
000903.SZ,,,,,,,
000910.SZ,大亚圣象,801140.SI,轻工制造,801142.SI,家居用品,851436.SI,瓷砖地板
000913.SZ,,,,,,,
000915.SZ,华特达因,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000917.SZ,电广传媒,801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ
000918.SZ,,,,,,,
000921.SZ,海信家电,801110.SI,家用电器,801111.SI,白色家电,851112.SI,空调
000923.SZ,河钢资源,801040.SI,钢铁,801043.SI,冶钢原料,850431.SI,铁矿石
000927.SZ,中国铁物,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ
000928.SZ,中钢国际,801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程
000930.SZ,中粮科技,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工
000931.SZ,中关村,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000933.SZ,神火股份,801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝
000935.SZ,,,,,,,
000936.SZ,华西股份,801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶
000950.SZ,重药控股,801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通
000951.SZ,中国重汽,801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车
000958.SZ,,,,,,,
000966.SZ,长源电力,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000968.SZ,蓝焰控股,801960.SI,石油石化,801961.SI,油气开采Ⅱ,859611.SI,油气开采Ⅲ
000969.SZ,安泰科技,801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料
000970.SZ,,,,,,,
000976.SZ,*ST华铁(退市),801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ
000982.SZ,,,,,,,
000989.SZ,九芝堂,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
000990.SZ,,,,,,,
001203.SZ,,,,,,,
001213.SZ,,,,,,,
001227.SZ,,,,,,,
001236.SZ,,,,,,,
001258.SZ,立新能源,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
001269.SZ,欧晶科技,801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材
001270.SZ,*ST铖昌,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
001287.SZ,中电港,801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ
001301.SZ,尚太科技,801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品
001308.SZ,康冠科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
001309.SZ,,,,,,,
001311.SZ,多利科技,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
001322.SZ,箭牌家居,801140.SI,轻工制造,801142.SI,家居用品,851439.SI,卫浴制品
001323.SZ,,,,,,,
001337.SZ,四川黄金,801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金
001338.SZ,永顺泰,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工
001339.SZ,,,,,,,
001356.SZ,,,,,,,
001376.SZ,,,,,,,
001389.SZ,,,,,,,
001696.SZ,宗申动力,801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备
001914.SZ,,,,,,,
002002.SZ,ST鸿达(退市),801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱
002003.SZ,伟星股份,801130.SI,纺织服饰,801131.SI,纺织制造,851315.SI,辅料
002004.SZ,,,,,,,
002006.SZ,精工科技,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002010.SZ,传化智联,801170.SI,交通运输,801178.SI,物流,851787.SI,公路货运
002011.SZ,盾安环境,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ
002015.SZ,协鑫能科,801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务
002017.SZ,东信和平,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002019.SZ,,,,,,,
002020.SZ,京新药业,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
002023.SZ,海特高新,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002025.SZ,,,,,,,
002034.SZ,旺能环境,801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理
002035.SZ,华帝股份,801110.SI,家用电器,801114.SI,厨卫电器,851141.SI,厨房电器
002036.SZ,,,,,,,
002038.SZ,,,,,,,
002041.SZ,登海种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子
002042.SZ,华孚时尚,801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺
002043.SZ,兔宝宝,801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材
002044.SZ,美年健康,801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院
002045.SZ,国光电器,801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子
002046.SZ,,,,,,,
002048.SZ,宁波华翔,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
002051.SZ,中工国际,801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程
002053.SZ,,,,,,,
002055.SZ,ST得润,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002060.SZ,广东建工,801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务
002061.SZ,浙江交科,801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程
002063.SZ,远光软件,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002068.SZ,黑猫股份,801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑
002073.SZ,软控股份,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002075.SZ,,,,,,,
