ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
000020.SZ,深华发A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000049.SZ,德赛电池,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
000050.SZ,深天马A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000063.SZ,中兴通讯,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
000066.SZ,中国长城,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
000070.SZ,特发信息,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
000100.SZ,TCL科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000536.SZ,华映科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000561.SZ,烽火电子,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000572.SZ,海马汽车,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
000586.SZ,汇源通信,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
000625.SZ,长安汽车,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
000633.SZ,合金投资,801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料
000636.SZ,风华高科,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
000657.SZ,中钨高新,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
000697.SZ,ST炼石,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000725.SZ,京东方A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000727.SZ,冠捷科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000738.SZ,航发控制,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000762.SZ,西藏矿业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
000768.SZ,中航西飞,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000795.SZ,英洛华,801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料
000823.SZ,超声电子,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
000831.SZ,中国稀土,801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土
000960.SZ,锡业股份,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
000969.SZ,安泰科技,801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料
000977.SZ,浪潮信息,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
000997.SZ,新大陆,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
001223.SZ,欧克科技,801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备
001266.SZ,宏英智能,801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备
001269.SZ,欧晶科技,801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材
001283.SZ,豪鹏科技,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
001301.SZ,尚太科技,801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品
001308.SZ,康冠科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002017.SZ,东信和平,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002023.SZ,海特高新,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002049.SZ,紫光国微,801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计
002074.SZ,国轩高科,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
002077.SZ,大港股份,801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测
002104.SZ,恒宝股份,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002106.SZ,莱宝高科,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002119.SZ,康强电子,801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料
002129.SZ,TCL中环,801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片
002134.SZ,天津普林,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002138.SZ,顺络电子,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
002149.SZ,西部材料,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002152.SZ,广电运通,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002156.SZ,通富微电,801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测
002167.SZ,东方锆业,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002177.SZ,御银股份,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002184.SZ,海得控制,801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备
002185.SZ,华天科技,801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测
002194.SZ,武汉凡谷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002197.SZ,证通电子,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002202.SZ,金风科技,801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机
002236.SZ,大华股份,801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备
002240.SZ,盛新锂能,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002245.SZ,蔚蓝锂芯,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
002268.SZ,电科网安,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002273.SZ,水晶光电,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002281.SZ,光迅科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002296.SZ,辉煌科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002297.SZ,博云新材,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002313.SZ,日海智能,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002334.SZ,英威腾,801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备
002335.SZ,科华数据,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002364.SZ,中恒电气,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002376.SZ,新北洋,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002378.SZ,章源钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002383.SZ,合众思壮,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002384.SZ,东山精密,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002387.SZ,维信诺,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002389.SZ,航天彩虹,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002396.SZ,星网锐捷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002409.SZ,雅克科技,801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料
002415.SZ,海康威视,801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备
002428.SZ,云南锗业,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002436.SZ,兴森科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002446.SZ,盛路通信,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
