ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
000001.SZ,平安银行,801780.SI,银行,801783.SI,股份制银行Ⅱ,857831.SI,股份制银行Ⅲ
000002.SZ,万科A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000006.SZ,深振业A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000007.SZ,全新好,801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营
000008.SZ,神州高铁,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ
000009.SZ,,,,,,,
000011.SZ,深物业A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000012.SZ,南玻A,801710.SI,建筑材料,801712.SI,玻璃玻纤,857121.SI,玻璃制造
000014.SZ,沙河股份,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000017.SZ,,,,,,,
000019.SZ,,,,,,,
000020.SZ,深华发A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000021.SZ,深科技,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
000025.SZ,,,,,,,
000026.SZ,飞亚达,801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝
000027.SZ,深圳能源,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000028.SZ,国药一致,801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通
000029.SZ,深深房A,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000030.SZ,富奥股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000031.SZ,,,,,,,
000032.SZ,,,,,,,
000034.SZ,神州数码,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000035.SZ,中国天楹,801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理
000036.SZ,华联控股,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000037.SZ,,,,,,,
000039.SZ,中集集团,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
000042.SZ,中洲控股,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000045.SZ,,,,,,,
000048.SZ,,,,,,,
000049.SZ,德赛电池,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
000050.SZ,深天马A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000055.SZ,,,,,,,
000058.SZ,深赛格,801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营
000059.SZ,华锦股份,801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工
000060.SZ,中金岭南,801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌
000061.SZ,农产品,801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营
000062.SZ,深圳华强,801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ
000063.SZ,中兴通讯,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
000065.SZ,北方国际,801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程
000066.SZ,中国长城,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
000068.SZ,华控赛格,801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理
000069.SZ,,,,,,,
000070.SZ,特发信息,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
000088.SZ,,,,,,,
000089.SZ,,,,,,,
000090.SZ,天健集团,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000096.SZ,广聚能源,801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易
000099.SZ,,,,,,,
000100.SZ,TCL科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000151.SZ,中成股份,801200.SI,商贸零售,801202.SI,贸易Ⅱ,852021.SI,贸易Ⅲ
000153.SZ,丰原药业,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
000155.SZ,川能动力,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
000156.SZ,华数传媒,801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ
000157.SZ,中联重科,801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机
000158.SZ,常山北明,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000159.SZ,,,,,,,
000166.SZ,,,,,,,
000301.SZ,,,,,,,
000333.SZ,美的集团,801110.SI,家用电器,801111.SI,白色家电,851112.SI,空调
000338.SZ,潍柴动力,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000400.SZ,许继电气,801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备
000401.SZ,金隅冀东,801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造
000402.SZ,,,,,,,
000403.SZ,派林生物,801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品
000404.SZ,长虹华意,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ
000407.SZ,胜利股份,801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ
000408.SZ,,,,,,,
000409.SZ,,,,,,,
000410.SZ,沈阳机床,801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具
000411.SZ,英特集团,801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通
000415.SZ,,,,,,,
000417.SZ,,,,,,,
000419.SZ,通程控股,801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售
000420.SZ,吉林化纤,801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶
000421.SZ,,,,,,,
000422.SZ,,,,,,,
000423.SZ,东阿阿胶,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
000425.SZ,徐工机械,801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机
