ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
000008.SZ,神州高铁,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ
000020.SZ,深华发A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000021.SZ,深科技,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
000034.SZ,神州数码,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000039.SZ,中集集团,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
000049.SZ,德赛电池,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
000050.SZ,深天马A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000063.SZ,中兴通讯,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
000066.SZ,中国长城,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
000070.SZ,特发信息,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
000100.SZ,TCL科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000155.SZ,川能动力,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
000158.SZ,常山北明,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000338.SZ,潍柴动力,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000400.SZ,许继电气,801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备
000410.SZ,沈阳机床,801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具
000420.SZ,吉林化纤,801030.SI,基础化工,801032.SI,化学纤维,850343.SI,粘胶
000503.SZ,国新健康,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
000530.SZ,冰山冷热,801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备
000531.SZ,穗恒运A,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000533.SZ,顺钠股份,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
000536.SZ,华映科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000537.SZ,绿发电力,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
000539.SZ,粤电力A,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000555.SZ,神州信息,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000559.SZ,万向钱潮,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000561.SZ,烽火电子,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000570.SZ,苏常柴A,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000572.SZ,海马汽车,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
000576.SZ,,,,,,,
000581.SZ,威孚高科,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000586.SZ,汇源通信,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
000599.SZ,青岛双星,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
000600.SZ,建投能源,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000601.SZ,韶能股份,801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电
000625.SZ,长安汽车,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
000633.SZ,合金投资,801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料
000636.SZ,风华高科,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
000657.SZ,中钨高新,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
000678.SZ,襄阳轴承,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000682.SZ,东方电子,801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备
000690.SZ,宝新能源,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000692.SZ,惠天热电,801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务
000697.SZ,ST炼石,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000700.SZ,模塑科技,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
000725.SZ,京东方A,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000727.SZ,冠捷科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
000738.SZ,航发控制,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000762.SZ,西藏矿业,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
000767.SZ,晋控电力,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000768.SZ,中航西飞,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
000777.SZ,中核科技,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
000795.SZ,英洛华,801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料
000811.SZ,冰轮环境,801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备
000816.SZ,智慧农业,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000823.SZ,超声电子,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
000829.SZ,天音控股,801200.SI,商贸零售,801204.SI,专业连锁Ⅱ,852041.SI,专业连锁Ⅲ
000831.SZ,中国稀土,801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土
000837.SZ,秦川机床,801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具
000852.SZ,石化机械,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
000856.SZ,冀东装备,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
000862.SZ,银星能源,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
000875.SZ,电投绿能,801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务
000880.SZ,潍柴重机,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
000887.SZ,中鼎股份,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
000899.SZ,赣能股份,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000925.SZ,众合科技,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ
000927.SZ,中国铁物,801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ
000936.SZ,华西股份,801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶
000938.SZ,紫光股份,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
000948.SZ,南天信息,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
000960.SZ,锡业股份,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
000966.SZ,长源电力,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
000969.SZ,安泰科技,801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料
000977.SZ,浪潮信息,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
000980.SZ,众泰汽车,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
000988.SZ,,,,,,,
000993.SZ,闽东电力,801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电
000997.SZ,新大陆,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
001223.SZ,欧克科技,801890.SI,机械设备,801078.SI,自动化设备,850784.SI,其他自动化设备
001225.SZ,和泰机电,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
001256.SZ,炜冈科技,801890.SI,机械设备,801074.SI,专用设备,850726.SI,印刷包装机械
001258.SZ,立新能源,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
001260.SZ,坤泰股份,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
001266.SZ,宏英智能,801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备
001269.SZ,欧晶科技,801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材
001278.SZ,一彬科技,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
001283.SZ,豪鹏科技,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
001289.SZ,龙源电力,801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电
001301.SZ,尚太科技,801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品
001308.SZ,康冠科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
001309.SZ,,,,,,,
001311.SZ,多利科技,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
001319.SZ,铭科精技,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
001332.SZ,锡装股份,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
001360.SZ,南矿集团,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
001379.SZ,腾达科技,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
001400.SZ,江顺科技,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
001696.SZ,宗申动力,801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备
001896.SZ,豫能控股,801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电
002006.SZ,精工科技,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002008.SZ,,,,,,,
002009.SZ,天奇股份,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
