method,horizon,label_name,window_start,window_end,n_decision_cells,n_positives,positive_rate,industry_concentration,industry_cv,year_stability_cv,median_event_quality,median_event_duration
A,t1,A_calib_t1,2023-01-03,2024-12-04,1386808,11142,0.008034,2.8646,0.5623,0.1531,2.1136,15.0
A,t3,A_calib_t3,2023-01-03,2024-12-04,1386808,33565,0.024203,2.8983,0.5622,0.1544,2.1115,15.0
A,e20,A_calib_e20,2023-01-03,2024-12-04,1386808,223880,0.161435,2.8571,0.5518,0.1385,2.1124,15.0
B,t1,B_t1,2023-01-03,2024-12-04,1386808,11091,0.007998,2.6184,0.482,0.228,5.914,20.0
B,t3,B_t3,2023-01-03,2024-12-04,1386808,33298,0.024011,2.6164,0.4818,0.2271,5.9141,20.0
B,e20,B_e20,2023-01-03,2024-12-04,1386808,213635,0.154048,2.5895,0.4776,0.1975,5.8983,20.0
C,t1,C_t1,2023-01-03,2024-12-04,1386808,11119,0.008018,2.5986,0.5482,0.1767,3.5039,5.0
C,t3,C_t3,2023-01-03,2024-12-04,1386808,33243,0.023971,2.5834,0.5451,0.1757,3.5034,5.0
C,e20,C_e20,2023-01-03,2024-12-04,1386808,193020,0.139183,2.5356,0.5191,0.1271,3.5018,5.0
D,t1,D_t1,2023-01-03,2024-12-04,1386808,11100,0.008004,2.5742,0.5312,0.2517,3.2376,5.0
D,t3,D_t3,2023-01-03,2024-12-04,1386808,33334,0.024036,2.5733,0.5305,0.2522,3.2376,5.0
D,e20,D_e20,2023-01-03,2024-12-04,1386808,211010,0.152155,2.4911,0.5232,0.2189,3.2407,5.0
A_fixed,t1,A_fixed_t1,2023-01-03,2024-12-04,1386808,13138,0.009474,3.0096,0.5529,0.1446,1.9146,13.0
A_fixed,t3,A_fixed_t3,2023-01-03,2024-12-04,1386808,39560,0.028526,3.0371,0.5529,0.1458,1.9142,13.0
A_fixed,e20,A_fixed_e20,2023-01-03,2024-12-04,1386808,261812,0.188787,2.998,0.5429,0.1336,1.9142,13.0
